	ERR188047	ERR188063	ERR188088	ERR188118	ERR188135	ERR188151	ERR188158	ERR188162	ERR188163	ERR188165	ERR188167	ERR188180	ERR188187	ERR188190	ERR188202	ERR188206	ERR188213	ERR188214	ERR188231	ERR188247	ERR188248	ERR188254	ERR188273	ERR188288	ERR188297	ERR188304	ERR188307	ERR188311	ERR188325	ERR188327	ERR188329	ERR188368	ERR188369	ERR188376	ERR188380	ERR188416	ERR188428	ERR188445	ERR188449	ERR188474	ERR188481
INSR_ENSG00000171105.9	0.000760758	0.00021053	0.000268669	0.000147435	0.00044743	0.000364901	0.000438863	0	0.000173253	0.000316893	0.000582628	0.000233325	0.000113142	0.0004155	0.000328057	0.000634865	0.000772933	0.000197507	0.000795841	0.000515017	0.00020668	0.000316893	0.000245391	0.000286713	0.000428122	0.000258881	0.000472228	0.000258881	0.000497634	0.000571858	0.000354873	0.000507441	0	0.000458893	0.000222722	0.000491583	0.000500007	0.000139553	0.000398085	0.000406465	0.000619524
IGLV2-23_ENSG00000211660.3	0	0	0.000258382	0.009849474	0.000297881	0	0	0	0.005261549	0	0.002503143	0.032085027	0.001766641	0.008375241	0.000162034	0.017280324	0	0.000813207	0.023828652	0.001150002	0.083136816	0	0	0.002638173	0.019591641	0.00505057	0.012755652	0	0	0	0.000268296	0.039982483	0.001101841	0	0	0.006252666	0.003848521	0.023964968	0.001984884	0	0
IGKV3-11_ENSG00000241351.1	0	0.002720478	0.01551526	0.001174833	0	0.001243356	0	0	0.032085027	0.000286207	0.030346499	0.030892442	0.025650273	0.148119555	0.00044193	0.026845631	0	0.001177128	0.032876028	0.006749584	0.019067553	0.037580045	0.000502574	0.036490406	0.00023787	0.022321501	0.039007779	0	0.000385947	0	0.020007191	0.038528171	0.004928641	0	0.000157907	0.048493996	0.024906316	0.068753218	0.000261242	0.000195882	9.11E-05
IGHV3-30_ENSG00000211953.2	0.000196475	0.001533095	0.011485186	0.033640586	0	0.000190844	0	0.000181702	0.006620842	0.007580583	0.00571111	0.015161978	0.058519166	0.061521885	0	0.031459177	0	0.000121828	0.0152939	0.014026926	0.012857453	0.002586106	0.000444761	0.03008277	0.000446503	0.02256716	0.034074628	0	0	0.000161369	0.0099827	0.009701614	0.002916442	0	0	0.026084418	0.014114522	0.020102644	0.01168151	0.000741888	0
IGKV1-6_ENSG00000239855.1	0	0.000154816	0.003916717	0	0	0	0	0	0.002437775	0.000485654	0.002394386	0.039007779	0.000555814	0.000938094	0	0.010294967	0	0	0.001858591	0.060603215	0.000179371	0	0	0	0.000327351	0.000818975	0.003875404	0	0	0	0.000585079	0.011149779	0.001403917	0	0	0.000997243	0.003342796	0.007260975	0	0	0
IGLV1-47_ENSG00000211648.2	0	0.000237217	0	0.004721143	0	0	0	0	0.004657917	0	0.001200598	0.004276804	0.000774429	0.010221969	0	0.02256716	0	0	0.007016772	0.000286795	0.003320056	0.000138706	0.000255309	0.002931754	0.009749457	0.009635641	0.013453735	0	0	0	0.000939214	0.003426	0.000470527	0	0.000223221	0.005727847	0.003019273	0.137332998	0	0.001568081	0.00129425
HLA-DOA_ENSG00000204252.8	0.002948543	0.002037598	0.001854678	0.001175671	0.003232445	0.002652859	0.00301814	0.001953151	0.001427263	0.002161603	0.001297779	0.00214846	0.001886556	0.001765417	0.002619976	0.001458053	0.00406836	0.002183737	0.001578839	0.001076953	0.001848789	0.001523082	0.004139215	0.001265622	0.00255496	0.001591409	0.001277429	0.001926701	0.003576465	0.00265785	0.00158837	0.001051749	0.001064367	0.00468631	0.001138475	0.00158403	0.001020942	0.00135908	0.003264129	0.001801773	0.002736078
HLA-DRA_ENSG00000204287.9	0.14331291	0.139917506	0.107748397	0.066581553	0.152824701	0.120978227	0.139917506	0.119234744	0.087912511	0.109365897	0.073557016	0.116820399	0.085465346	0.110712035	0.135823223	0.059661527	0.197749789	0.105449484	0.079432087	0.069777541	0.087912511	0.058519166	0.182303149	0.066581553	0.083842458	0.078377434	0.052129337	0.100123627	0.144977538	0.124464999	0.070848841	0.056032432	0.062847164	0.222231451	0.073557016	0.100123627	0.053863748	0.07664444	0.138751422	0.115523349	0.150872428
IGHV2-26_ENSG00000211951.2	0	0	0	0.000627653	0	0	0	0	0.013001924	0	0.032876028	0.000281768	0.000495647	0.00197309	0	0.001526457	0	0	0.001482464	0.000348534	0.000457015	0	0	0.131214862	0	0.000814207	0.0050867	0	0	0	0.020888393	0.006840023	0	0	0	0.000953272	0.000557017	0.001052042	0	0	0
IGHV2-5_ENSG00000211937.2	0	0	0.002717151	0	0	0.001134322	0	0	0.002738843	0	0.001044135	0.00532977	0.011364959	0.011386564	0.000253193	0.007260975	0	0	0.017741563	0.003790877	0.007856939	0.000304355	0	0.000152156	0.000173467	0.004346788	0.020363634	0	0	0	0.000678015	0.022955541	0.004139215	0	0	0.138751422	0.001203053	0.020456911	0.000112476	0	0
IGLV1-51_ENSG00000211644.2	0	0.000251327	0.000450244	0.001936982	0	0	0	0.000317118	0.00153534	0	0.005803354	0.01720596	0.003573908	0.012971363	0	0.026283621	0	0	0.010530961	0.000891456	0.018033944	0.00027814	0	0.041654884	0.293592345	0.011123547	0.048493996	0	0	0	0.04206663	0.013631427	0.002877684	0	0	0.019871431	0.012307359	0.042738954	0.002853588	0	0
IGLV7-43_ENSG00000211652.2	0	0	0	0.00402535	0	0.000214371	0	0	0.003557017	0	0.006853321	0.001927574	0.015742682	0.00075292	0	0.001239851	0	0	0.006232055	0.022415689	0.001243799	0.016010976	0	0	0.000621082	0.025478418	0.00124955	0	0	0	0.000692648	0.000681227	0	0	0	0.000184937	0	0.032876028	0	0	0
IGHV3-11_ENSG00000211941.2	0	0	0	0.005110221	0	0.000564081	0	0.002409754	0.057304188	0.002264548	0.001355831	0.029306947	0.001612209	0.038012732	0.000593481	0.002933299	0	0.137332998	0.012971363	0.000798042	0.067675589	0.000385496	0	0.000181917	0.000161622	0.004191599	0.005114835	0	0.000425339	0	0.000323132	0.004771899	0.000168275	0	0	0.001587826	0.003582953	0.016442777	0.000703753	0	0
CTTN_ENSG00000085733.11	0.001359969	0.000246325	0.000278495	0.000424391	0.000845233	0.00034725	0.00030888	0.0003217	0.000548578	0.000409626	0.000369952	0.000634034	0.000378514	0.00048591	0.000633854	0.000461406	0.000687289	0.000438207	0.000902841	0.000393677	0.000734514	0.000552405	0.00045974	0.000370811	0.000306761	0.000621697	0.000428897	0.000162313	0.000745447	0.001322471	0.000390062	0.00040938	0.000232704	0.000967598	0.000229099	0.000514846	0.000400585	0.000655009	0.000368004	0.000589133	0.001196122
IGLV5-45_ENSG00000211650.2	0	0	0	0	0	0	0	0	0.000556853	0	0.000271142	0.000191753	0	0.002733246	0	0.001452075	0	0	0.003539738	0	0.001293363	0	0	0	0	0.000524115	0.002693888	0	0	0	0.000256404	0.000945189	0	0	0	0.002908991	0.000751114	0.001775937	0	0	0
AC078883.3_ENSG00000232788.1	0	0	0	0.000146232	0	0	0	0	0	0	0	0.000117755	0.000155828	0.000189707	0	0.00018402	0	0	0	0	0.000203452	0	0	0	0	0.000152758	0	0	0	0	0	0	0	0	0	0.000150085	0	0.000202472	0	0	0
IGLV2-11_ENSG00000211668.2	0	0.000182205	0	0.003997635	0	0.000277014	0	0	0.000643614	0.000159259	0.004466855	0.003357453	0.000702285	0.012715039	0	0.014470947	0	0.005925228	0.010644901	0.00113018	0.006917454	0.00056566	0	0.012026844	0.00973356	0.00177537	0.022415689	0	0	0	0.000449989	0.012281846	0.005938209	0	0	0.036046977	0.026084418	0.015161978	0.001245024	0.000193462	0.000113573
IGHV1-18_ENSG00000211945.2	0	0	0.000706244	0.005251977	0.000155536	0.000691291	0	0.000391243	0.002589676	0.000195202	0.011410478	0.005629779	0.013753133	0.008664309	0	0.01613044	0	0	0.032488867	0.000811639	0.018147025	0.002589676	0.000373736	0.001553037	0.064043289	0.025883611	0.003019273	0	0.000148199	0	0.035362721	0.009544024	0.001521317	0	0	0.012897961	0.006536079	0.011437957	0	0.00115293	0
IGKV1D-8_ENSG00000239819.1	0	0.000149854	0	0	0	0	0	0	0	0	0.000415773	0	0	0.000445431	0	0.000599412	0	0	0.000297566	0.000363962	0	0	0	0	0	0	0.000447329	0	0	0	0	0.00153534	0	0	0	0.000958304	0.000610054	0.000264947	0.002403472	0	0
GAL3ST4_ENSG00000197093.6	0.000275909	0	0	0	0.000222099	0	0	0	0	0	0	0.000140499	0	0	0.000160871	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000294727	0.000206968	0	0	0	0	0	0	0	0	0	0.000184865	4.42E-05
HLA-DRB1_ENSG00000196126.6	0.046693949	0.036490406	0.047266988	0.017931064	0.046693949	0.065510555	0.04206663	0.073557016	0.024906316	0.039007779	0.039007779	0.03008277	0.03008277	0.028307511	0.062847164	0.025086518	0.058519166	0.030649453	0.030892442	0.023372343	0.029306947	0.038012732	0.070848841	0.021602127	0.031459177	0.026845631	0.017048857	0.056032432	0.039982483	0.043170996	0.018554614	0.014519351	0.031459177	0.075710589	0.038528171	0.026478208	0.031192291	0.032085027	0.058519166	0.034613713	0.050128988
HLA-DQB1_ENSG00000179344.12	0.033260756	0.029031774	0.041654884	0.013453735	0.029517984	0.022321501	0.021473862	0.04110221	0.022321501	0.032085027	0.015396778	0.025650273	0.023096466	0.02256716	0.038528171	0.012340906	0.041654884	0.020798777	0.018310799	0.018982302	0.025650273	0.01246031	0.030649453	0.014953572	0.023654793	0.022801354	0.012253293	0.022955541	0.044049812	0.032488867	0.018746956	0.013141925	0.029031774	0.053066087	0.022321501	0.015578041	0.013339324	0.029517984	0.036490406	0.033260756	0.041654884
IGKV1-33_ENSG00000242076.1	0	0	0.00282092	0.000879133	0	0.000235921	0	0.000547221	0.002781031	0	0.005840015	0.001178312	0.001261479	0.007096549	0	0.006210229	0	0	0.011071015	0.000767626	0.001358639	0.001773534	0	0.070848841	0	0.003266147	0.005229272	0	0	0	0.049329574	0.003654809	0	0	0	0.001980481	0.003138313	0.003095681	0.000147255	0	0
SMO_ENSG00000128602.5	0.000268116	0	0.000181052	0	0.000181702	9.79E-05	0	0.00017301	0.000185398	0.000186908	0.000122933	0.000145193	7.24E-05	9.85E-05	0.000223949	0	0.000365717	0	0.000151138	0	0.000180105	0	0.000156805	0	0	0.000210221	0	0	0.000287754	0.0003765	0	0	0	0.00033425	0	0	0	0	0	0.000185774	0.000184865
IGHV3-23_ENSG00000211949.2	0	0.008703319	0.001826768	0.002510797	0	0.018377313	0	0	0.052129337	0.007831567	0.007889275	0.031459177	0.047266988	0.050746829	0.005166866	0.072694832	0	0.000339661	0.053066087	0.00566642	0.027620563	0.027826581	0.00014881	0.020102644	0.002753693	0.227393207	0.084581639	0.000162107	0.000278313	0	0.001278113	0.020102644	0.083842458	0.000320092	0	0.087912511	0.017114523	0.200908284	0.003527774	0	0.001481143
FAM213A_ENSG00000122378.9	0.001058908	0.000657938	0.000689458	0.000454757	0.000981436	0.000966885	0.001616118	0.000474302	0.00088924	0.000847566	0.000323553	0.000695344	0.000646227	0.000896344	0.001121891	0.000523445	0.001511812	0.000783821	0.000702481	0.000572034	0.000688574	0.000944641	0.000743059	0.000395888	0.000860776	0.000695124	0.000405004	0.000755758	0.001205106	0.00090727	0.000495792	0.000431476	0.000523178	0.001059877	0.000829723	0.000479187	0.000400268	0.000479685	0.00121282	0.001189409	0.001088155
IGLV3-1_ENSG00000211673.2	0	0.00017806	0.000724369	0.005913859	0.000788363	0.04110221	0	0.000146845	0.010221969	0.001728768	0.00214064	0.009250528	0.120978227	0.141573468	0	0.034994393	0	0.000130933	0.027620563	0.00346564	0.016373012	0.000686929	0.00015061	0.0016215	0	0.005001664	0.029031774	0	0	0.000170205	0.000486788	0.023221191	0.000455028	0	0	0.022321501	0.00790295	0.022801354	0.000397485	0.000459024	0.007490693
TMEM38A_ENSG00000072954.2	0.000925937	0.000626896	0.000328166	0.000370179	0.000923296	0.000689093	0.001210022	0.000618601	0.000537917	0.000679563	0.000570933	0.000511352	0.000562149	0.000599611	0.000624352	0.000558738	0.001162367	0.000554448	0.000512011	0.000346254	0.000465417	0.000569513	0.001187245	0.000268766	0.00053067	0.000501358	0.000414858	0.000618447	0.000550008	0.000899933	0.000425998	0.000416215	0.000312736	0.000902603	0.000429451	0.000419585	0.000397485	0.000612613	0.00062523	0.000573941	0.000736824
MGST1_ENSG00000008394.8	0.005229272	0	0.000708602	0.002145923	0.006497586	0.002193532	0.00242882	0.002610673	0.00267629	0.001711328	0.002160867	0.000617019	0.001361669	0.001268881	0.004231883	0.001959045	0.002696341	0.002422517	0.002860925	0.005095516	0.002719482	0.000465417	0.001180513	0.001743018	0	0.003041458	0.003452736	0	0.008574599	0.006203847	0.001946648	0.003305374	0.001317279	0.005990052	0.000995218	0.002300875	0.002874622	0.000804574	0.001648175	0.001878493	0.003723205
NAALADL2-AS2_ENSG00000226779.1	0.00041084	0	0	0	0.000464704	0	0	0	0	0.000688574	0.00015304	0.000173687	0.000140062	0.000126761	0.000373304	0.000287	0.000631024	0.000468541	0.000220831	0	0.000150996	0	0.000209434	0	0	0.000164201	0.00037387	0	0.000760969	0.000376861	0	0.000243695	0	0.000255083	0	0.000150019	0.000273891	0	0.000391748	0.000986334	0.001528039
ROBO1_ENSG00000169855.15	0.00241632	0.000151689	0	0	0.001186603	0	0	0	0.00014556	4.40E-05	0.000313633	0	0.000202383	0	0.000573624	0.000397485	0.003678723	0.000373431	0.000468162	0	0	0	0	0	0	0.000234158	0.000197584	0	0.000632179	0.001320575	0.001287385	0.000196872	0	0.000668216	0	0.00060498	0.000197584	0.000222722	0	0.000417646	0.000571093
IGHV4-59_ENSG00000224373.2	0.037000778	0	0.00025802	0.012006014	0	0.000227886	0	0	0.008999834	0	0.001451641	0.016442777	0.036490406	0.003216859	0	0.006049519	0	0.004759126	0.005175935	0.004031479	0.005809393	0.000154311	0.000701116	0	0	0.005275621	0.005500868	0	0	0	0.000812072	0.006512907	0.001688362	0	0.000619121	0.002359176	0.001863257	0.013001924	0.002652859	0.000279728	0
